5061,144.0,526.8,32.8,17.5,93.7,40.0,,633
1005,145.0,526.8,18.5,44.9,-17.2,22.7,4,164
5018,145.5,498.2,32.8,-54.0,-55.1,40.4,3,147
5031,146.0,554.9,32.8,-28.8,17.2,40.5,6,285
3082,146.0,432.0,21.2,-33.7,54.4,26.2,9,397
5073,146.5,543.3,32.8,60.3,46.7,40.6,10,446
4119,146.5,651.4,26.5,34.6,60.0,32.8,11,467
4110,146.5,522.1,26.5,51.3,60.7,32.8,14,558
4141,146.5,646.1,26.5,-7.3,1.9,32.8,,620
1006,148.0,529.5,18.5,41.6,-18.7,23.1,4,165
5042,149.0,497.7,32.8,-28.3,53.9,41.3,9,410
4107,149.0,540.1,26.5,40.4,67.6,33.4,14,555
1003,150.0,558.1,18.5,43.6,-24.1,23.4,4,162
2099,150.0,693.8,20.1,31.1,35.2,25.5,14,530
2107,150.5,557.6,20.1,44.6,59.7,25.6,14,534
4103,151.0,539.0,26.5,52.4,78.9,33.8,14,551
5066,151.5,512.0,32.8,61.5,72.9,42.0,14,561
4134,152.0,584.1,26.5,55.8,35.7,34.1,10,440
1004,153.0,512.5,18.5,44.7,-20.7,23.9,4,163
3166,154.0,459.5,21.2,56.2,15.4,27.6,7,320
1014,154.0,523.4,18.5,63.7,33.9,24.1,10,426
1047,154.0,474.4,18.5,12.3,88.6,24.1,13,508
5114,155.0,432.5,32.6,-32.3,-60.8,43.0,1,46
3132,155.0,587.2,21.2,1.6,-31.9,27.8,4,177
5097,155.0,587.8,32.8,10.7,-12.6,43.0,4,206
3114,155.0,711.5,21.2,39.7,46.3,27.8,10,432
5086,155.0,622.2,32.8,44.6,30.9,43.0,10,453
2076,155.5,678.4,20.1,-15.7,40.0,26.4,9,390
4106,156.0,619.6,26.5,37.7,72.5,35.0,14,554
5076,156.5,553.3,32.8,59.1,31.3,43.4,10,449
4177,157.5,468.0,26.5,-71.9,-37.8,35.3,3,146
2017,159.0,568.2,20.1,-12.9,-86.7,27.0,1,14
4038,159.0,492.9,26.5,-66.4,-51.7,35.6,3,130
4041,159.0,479.7,26.5,-70.6,-44.7,35.6,3,133
4047,159.0,446.8,26.5,-35.1,-39.0,35.6,3,139
4051,159.0,410.2,26.5,-61.4,-20.7,35.6,3,143
4155,159.0,501.4,26.5,44.2,5.4,35.6,7,328
3071,159.0,581.4,21.2,-16.8,22.4,28.5,9,393
1025,159.0,479.1,18.5,-41.0,36.1,24.8,,577
1025,159.0,577.2,18.5,-17.3,18.6,24.8,,578
1043,159.0,474.0,18.5,42.2,23.4,24.8,,581
5033,159.5,357.8,32.8,-51.0,13.4,44.3,6,287
4007,160.0,433.5,26.5,15.0,-82.0,35.9,1,25
3133,160.0,569.8,21.2,5.6,-29.2,28.7,4,178
5115,160.0,540.6,32.8,6.7,-34.2,44.4,4,209
3131,160.0,542.7,21.2,-36.6,26.6,28.7,6,254
3154,160.0,399.6,21.2,47.2,-4.7,28.7,7,311
3167,160.0,431.4,21.2,51.8,7.5,28.7,7,321
3168,160.0,408.1,21.2,48.4,6.0,28.7,7,322
5043,160.0,461.6,32.8,-22.3,52.7,44.4,9,411
4133,160.0,623.8,26.5,50.8,34.6,35.9,10,439
1032,161.5,338.7,18.5,1.0,-37.8,25.2,2,59
2163,161.5,431.4,20.1,60.4,17.2,27.4,7,302
3106,161.5,538.0,21.2,56.5,67.1,28.9,14,540
5064,161.5,592.5,32.8,44.7,89.2,44.8,14,559
5067,161.5,523.1,32.8,56.1,72.4,44.8,14,562
4136,162.5,715.0,26.5,30.4,29.0,36.4,8,362
2090,162.5,546.4,20.1,16.5,80.2,27.6,13,509
4066,163.5,501.9,26.5,-34.3,18.2,36.6,6,272
2162,164.0,548.0,20.1,59.9,13.4,27.9,7,301
4129,164.0,717.1,26.5,30.5,45.4,36.8,11,473
4102,164.0,504.0,26.5,58.5,77.2,36.8,14,550
4109,164.0,545.9,26.5,47.3,63.2,36.8,14,557
4147,165.0,641.3,26.5,0.3,-21.6,37.0,4,192
